timestamp,requests,published
2026-05-31,318.7,2026-05-31
2026-05-31,328.6,2026-06-03
2026-06-01,304.0,2026-06-01
2026-06-01,313.4,2026-06-04
2026-06-02,305.6,2026-06-02
2026-06-02,315.1,2026-06-05
2026-06-03,324.1,2026-06-03
2026-06-03,334.1,2026-06-06
2026-06-04,334.7,2026-06-04
2026-06-04,345.1,2026-06-07
2026-06-05,334.4,2026-06-05
2026-06-05,344.7,2026-06-08
2026-06-06,325.5,2026-06-06
2026-06-06,335.6,2026-06-09
2026-06-07,320.1,2026-06-07
2026-06-07,330.0,2026-06-10
2026-06-08,314.7,2026-06-08
2026-06-08,324.4,2026-06-11
2026-06-09,305.8,2026-06-09
2026-06-09,315.3,2026-06-12
